books,authors,movies,released_year,imdb_links
"Jimmy the Kid (1967),", Donald E. Westlake (as Richard Stark),Come ti rapisco il pupo,1976,
"Jimmy the Kid (1967),", Donald E. Westlake (as Richard Stark),Jimmy the Kid,1982,https://www.imdb.com/title/tt0085756/
"Johnny Tremain (1944),", Esther Forbes,Johnny Tremain,1957,
"Josepha (1981),", Christopher Frank,Josepha,1982,
"Journal d'un curé de campagne (1936),", Georges Bernanos,Diary of a Country Priest,1951,https://www.imdb.com/title/tt0042619/
"A Journey to Matecumbe (1961),", Robert Lewis Taylor,Treasure of Matecumbe,1976,https://www.imdb.com/title/tt0075347/
"Journey to Shiloh (1960),", Henry Wilson Allen,Journey to Shiloh,1963,https://www.imdb.com/title/tt0063161/
"Journey to the West (1590s),", Wu Cheng'en,Havoc in Heaven,1961,
"Journey to the West (1590s),", Wu Cheng'en,Shaw Brothers Studio film series:Monkey Goes West,1966,
"Journey to the West (1590s),", Wu Cheng'en,Princess Iron Fan,1966,/wiki/Princess_Iron_Fan_(1941_film)
"Journey to the West (1590s),", Wu Cheng'en,The Cave of the Silken Web,1967,
"Journey to the West (1590s),", Wu Cheng'en,The Land of Many Perfumes,1968,
"Journey to the West (1590s),", Wu Cheng'en,A Chinese Odyssey,1995,
"Journey to the West (1590s),", Wu Cheng'en,Heavenly Legend,1998,
"Journey to the West (1590s),", Wu Cheng'en,A Chinese Tall Story,2005,https://www.imdb.com/title/tt0469050/
"Journey to the West (1590s),", Wu Cheng'en,The Fire Ball,2005,
"Journey to the West (1590s),", Wu Cheng'en,The Adventures of Super Monkey,2007,
"Journey to the West (1590s),", Wu Cheng'en,The Forbidden Kingdom,2008,https://www.imdb.com/title/tt0865556/
"Journey to the West (1590s),", Wu Cheng'en,The Monkey King,2012,
"Journey to the West (1590s),", Wu Cheng'en,TBA),,
"The Joy Luck Club (1989),", Amy Tan,The Joy Luck Club,1993,
"Jude the Obscure (1895),", Thomas Hardy,Jude the Obscure,1971,/wiki/Jude_the_Obscure_(serial)
"Jude the Obscure (1895),", Thomas Hardy,Jude,1996,
"A Judgement in Stone (1977),", Ruth Rendell,La Cérémonie,1995,https://www.imdb.com/title/tt0112769/
"The Juggler (1965),", Donald E. Westlake (as Richard Stark),Made in U.S.A.,1966,
"Jumanji (1981),", Chris Van Allsburg,Jumanji,1995,https://www.imdb.com/title/tt0113497/
"The Jungle Book (1894),", Rudyard Kipling,Elephant Boy,1937,
"The Jungle Book (1894),", Rudyard Kipling,Jungle Book,1942,
"The Jungle Book (1894),", Rudyard Kipling,The Jungle Book,1967,https://standardebooks.org/ebooks/rudyard-kipling/the-jungle-book
"The Jungle Book (1894),", Rudyard Kipling,The Jungle Book 2,2003,https://www.imdb.com/title/tt0283426/
"The Jungle Book (1894),", Rudyard Kipling,Adventures of Mowgli,1967,
"The Jungle Book (1894),", Rudyard Kipling,The Second Jungle Book: Mowgli & Baloo,1997,https://www.imdb.com/title/tt0120087/
"The Jungle Book (1894),", Rudyard Kipling,Jungle Book: Mowgli's Story,1998,
"The Jungle Book (1894),", Rudyard Kipling,Mowgli: The New Adventures of the Jungle Book,1998,https://www.imdb.com/title/tt0147781/
"Jupiter Laughs (1940),", A. J. Cronin,Shining Victory,1941,https://www.imdb.com/title/tt0034184/
"Jurassic Park (1990),", Michael Crichton,Jurassic Park,1993,/wiki/Jurassic_Park_(novel)
"Jurassic Park (1990),", Michael Crichton,The Lost World: Jurassic Park,1997,https://www.imdb.com/title/tt0119567/
"Jurassic Park (1990),", Michael Crichton,Jurassic Park III,2001,https://www.imdb.com/title/tt0163025/
"The Jungle (1906),", Upton Sinclair,The Jungle,1914,https://archive.org/search.php?query=title%3Athe%20jungle%20creator%3AUpton%20Sinclair%20-contributor%3Agutenberg%20AND%20mediatype%3Atexts%20
"Justine (1957),", Lawrence Durrell,Justine,1969,
"Kaitei Gunkan (1902–1907),", Shigeru Komatsuzaki,Atragon,1963,https://www.imdb.com/title/tt0057215/
"Kaitei Gunkan (1902–1907),", Shigeru Komatsuzaki,Super Atragon,1995,
"Kami no Tsuki (2012),", Mitsuyo Kakuta,Pale Moon,2014,
"Kenka erejii (1963),", Takashi Suzuki,Fighting Elegy,1966,https://www.rottentomatoes.com/m/fighting_elegy
"The Keys of the Kingdom (1941),", A. J. Cronin,The Keys of the Kingdom,1944,/wiki/The_Keys_of_the_Kingdom_(film)
"Khamphiphaksa (The Judgment) (1981),", Chart Korbjitti,Ai-Fak,2004,
"Kidnapped (1886),", Robert Louis Stevenson,Kidnapped,1938,
"The King's Damosel (1976),", Vera Chapman,Quest for Camelot,1998,https://www.imdb.com/title/tt0120800/
"Kings Row (1940),", Henry Bellamann,Kings Row,1942,https://www.imdb.com/title/tt0034946/
"Kings Row (1940),", Henry Bellamann,directed by Sam Wood,,
"King Solomon's Mines (1885),", Sir H. Rider Haggard,Allan Quatermain,1919,https://www.gutenberg.org/ebooks/711
"King Solomon's Mines (1885),", Sir H. Rider Haggard,King Solomon's Mines,1937,https://www.gutenberg.org/ebooks/2166
"King Solomon's Mines (1885),", Sir H. Rider Haggard,Watusi,1959,
"King Solomon's Mines (1885),", Sir H. Rider Haggard,King Solomon's Treasure,1977,https://www.imdb.com/title/tt0076270/
"King Solomon's Mines (1885),", Sir H. Rider Haggard,The League of Extraordinary Gentlemen,2003,http://www.isfdb.org/cgi-bin/pe.cgi?22737
"King Solomon's Mines (1885),", Sir H. Rider Haggard,Allan Quatermain and the Temple of Skulls,2008,https://www.imdb.com/title/tt1219671/
"King's Ransom (1959),", Evan Hunter (as Ed McBain),High and Low,1963,
"Kings Go Forth (1956),", Joe David Brown,Kings Go Forth,1958,https://www.imdb.com/title/tt0051819/
"The Killer Inside Me (1952),", Jim Thompson,The Killer Inside Me,1976,/wiki/The_Killer_Inside_Me_(1976_film)
"Kipps (1905),", H. G. Wells,Kipps,1921,https://standardebooks.org/ebooks/h-g-wells/kipps
"Kipps (1905),", H. G. Wells,Half a Sixpence,1967,https://www.ibdb.com/broadway-show/4160
"Kirishima, bukatsu yamerutteyo (2010),", Ryo Asai,The Kirishima Thing,2012,
"Kiss of the Spider Woman (1976),", Manuel Puig,Kiss of the Spider Woman,1985,
"Kiss the Girls (1995),", James Patterson,Kiss the Girls,1997,
"Kiss Tomorrow Goodbye (1948),", Horace McCoy,Kiss Tomorrow Goodbye,1950,
"The Klansman (1967),", William Bradford Huie,The Klansman,1974,https://www.imdb.com/title/tt0071721/
"Kolchak: The Kolchak Papers (1970),", Jeff Rice,The Night Stalker,1972,
"Kolchak: The Kolchak Papers (1970),", Jeff Rice,The Night Strangler,1973,
"Kolchak: The Kolchak Papers (1970),", Jeff Rice,Crackle of Death,1974,https://www.imdb.com/title/tt0166157/
"Kolchak: The Kolchak Papers (1970),", Jeff Rice,The Demon and the Mummy,1976,
"Kowloon Tong (1997),", Paul Theroux,Chinese Box,1997,https://www.imdb.com/title/tt0118851/
"Kuroi Ame (Black Rain) (1966),", Masuji Ibuse,Black Rain,1989,
"L.A. Confidential (1990),", James Ellroy,L.A. Confidential,1997,/wiki/L.A._Confidential_(film)
"Lad, A Dog (1919),", Albert Payson Terhune,Lad,,
"Lad, A Dog (1919),", Albert Payson Terhune,A Dog,1963,
"Lady Audley's Secret (1862),", Mary Elizabeth Braddon,Lady Audley's Secret,1912,/wiki/Lady_Audley%27s_Secret_(1915_film)
"Lady L (1958),", Romain Gary,Lady L,1965,
"The Lady of the Camellias (1848),"," Alexandre Dumas, fils",Camille,1909,
"The Lady of the Camellias (1848),"," Alexandre Dumas, fils",and starring Charlie Chaplin),,
"The Lady of the Camellias (1848),"," Alexandre Dumas, fils",Camille 2000,1969,https://mubi.com/films/camille-2000
"The Lair of the White Worm (1911),", Bram Stoker,The Lair of the White Worm,1988,https://en.wikisource.org/wiki/The_Lair_of_the_White_Worm
"La lampe dans la fenêtre (1972),", Pauline Cadieux,Cordélia,1980,https://www.imdb.com/title/tt0085365/
"The Land That Time Forgot (1918),", Edgar Rice Burroughs,The Land That Time Forgot,1975,
"The Land That Time Forgot (1918),", Edgar Rice Burroughs,The People That Time Forgot,1977,
"Lassie Come-Home (1940),", Eric Knight,Lassie Come Home,1943,https://www.imdb.com/title/tt0036098/
"Lassie Come-Home (1940),", Eric Knight,Son of Lassie,1945,https://www.rottentomatoes.com/m/son_of_lassie
"Lassie Come-Home (1940),", Eric Knight,Courage of Lassie,1946,https://www.imdb.com/title/tt0038427/
"Lassie Come-Home (1940),", Eric Knight,Hills of Home,1948,
"Lassie Come-Home (1940),", Eric Knight,The Sun Comes Up,1949,https://www.imdb.com/title/tt0040849/
"Lassie Come-Home (1940),", Eric Knight,Challenge to Lassie,1950,https://www.imdb.com/title/tt0041238/
"Lassie Come-Home (1940),", Eric Knight,The Painted Hills,1951,https://www.imdb.com/title/tt0043895/
"Lassie Come-Home (1940),", Eric Knight,Lassie's Great Adventure,1963,
"Lassie Come-Home (1940),", Eric Knight,The Magic of Lassie,1988,https://www.imdb.com/title/tt0077890/
"Lassie Come-Home (1940),", Eric Knight,Lassie,1994,/wiki/Lassie_(1994_film)
"The Last Days of Pompeii (1834),", Edward Bulwer-Lytton,The Last Days of Pompeii,1900,/w/index.php?title=The_Last_Days_of_Pompeii_(1900_film)&action=edit&redlink=1
"The Last Days of Pompeii (1834),", Edward Bulwer-Lytton,Les Derniers Jours de Pompéi),,
"The Last Detail (1970),", Darryl Ponicsan,The Last Detail,1973,https://www.imdb.com/title/tt0070290/
"The Last Hunt (1954),", Milton Lott,The Last Hunt,1956,https://www.imdb.com/title/tt0049432/
"The Last of the Duanes (1913) (written),", Zane Grey,The Last of the Duanes,1919,
"The Last of the Duanes (1913) (written),", Zane Grey,El último de los Vargas,1930,
"The Last of the Duanes (1913) (written),", Zane Grey,Last of the Duanes,1941,
"The Last of the Mohicans (1826),", James Fenimore Cooper,The Last of the Mohicans,1912,/wiki/The_Last_of_the_Mohicans_(1911_film)
"The Last Picture Show (1966),", Larry McMurtry,The Last Picture Show,1971,https://www.imdb.com/title/tt0067328/
"The Last Ride (1996),", Thomas Eidson,The Missing,2003,
"The Last Song (2009),", Nicholas Sparks,The Last Song,2010,
"Last Stand at Papago Wells (1957),", Louis L'Amour,Apache Territory,1958,https://www.imdb.com/title/tt0051369/
"Last Stand at Saber River (1959),", Elmore Leonard,Last Stand at Saber River,1997,https://www.imdb.com/title/tt0119501/
"The Last Unicorn (1968),", Peter S. Beagle,The Last Unicorn,1982,
"The Late George Apley (1937),", John P. Marquand,The Late George Apley,1947,
"Lay This Laurel (1973),", Lincoln Kirstein,Glory,1989,/wiki/Glory_(Britney_Spears_album)
"Layer Cake (2000),", J. J. Connolly,Layer Cake,2004,
"Laura (1942) (serial),",", Vera Caspary",Laura,1944,
"Law and Order (1973),", Dorothy Uhnako,Law and Order,1976,
"The Law at Randado (1954),", Elmore Leonard,Border Shootout,1990,https://www.imdb.com/title/tt0097720/
"Law Man (1955),", Lauran Paine,The Quiet Gun,1957,https://www.imdb.com/title/tt0050874/
"Lawyer Man (1932),", Max Trell,Lawyer Man,1933,https://www.imdb.com/title/tt0023125/
"Leaving Cheyenne (1963),", Larry McMurtry,Lovin' Molly,1974,https://www.imdb.com/title/tt0071780/
"The Ledger (1970),", Dorothy Uhnak,Get Christie Love!,1974,https://www.imdb.com/title/tt0070990/
Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins,Left Behind: The Movie,2000,https://www.rottentomatoes.com/m/left_behind
Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins,Left Behind II: Tribulation Force,2002,https://www.imdb.com/title/tt0283644/
Left Behind (1995–2007) (series), Tim LaHaye and Jerry B. Jenkins,Left Behind: World at War,2005,http://leftbehind-worldatwar.com
"Lemonade Mouth (2007),", Mark Peter Hughes,Lemonade Mouth,2011,
"Lemonade Mouth (2007),", Mark Peter Hughes,Lemonade Mouth 2,2012,
"The Leopard (1958),", Giuseppe Tomasi di Lampedusa,The Leopard,1963,
"Less Than Zero (1985),", Bret Easton Ellis,Less Than Zero,1987,
"Let the Right One In (Låt den rätte komma in) (2004),", John Ajvide Lindqvist,Let the Right One In,2008,
"Let the Right One In (Låt den rätte komma in) (2004),", John Ajvide Lindqvist,Let Me In,2010,
"Letter to Five Wives (1946),", John Klempner,A Letter to Three Wives,1949,https://www.allmovie.com/movie/v29115
"Let Me Count the Ways (1965),", Peter De Vries,How Do I Love Thee?,1970,
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782),", Pierre Choderlos de Laclos,Les liaisons dangereuses,1959,/wiki/Les_liaisons_dangereuses_(play)
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782),", Pierre Choderlos de Laclos,Dangerous Liaisons,1988,https://www.imdb.com/title/tt0094947/
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782),", Pierre Choderlos de Laclos,Valmont,1989,/wiki/Valmont_(film)
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782),", Pierre Choderlos de Laclos,Cruel Intentions,1999,https://www.imdb.com/title/tt0139134/
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782),", Pierre Choderlos de Laclos,Untold Scandal,2003,http://www.talktalk.co.uk/events/2005/untoldscandal/
"Les Liaisons dangereuses (The Dangerous Liaisons) (1782),", Pierre Choderlos de Laclos,Michael Lucas' Dangerous Liaisons,2005,
"The Life Before Us (a. k. a. Momo) (1975),", Romain Gary (as Émile Ajar),Madame Rosa,1977,https://www.imdb.com/title/tt0076348/
"The Life Before Us (a. k. a. Momo) (1975),", Romain Gary (as Émile Ajar),The Life Before Us,2010,
"The Lincoln Lawyer (2005),", Michael Connelly,The Lincoln Lawyer,2011,/wiki/The_Lincoln_Lawyer_(film)
"A Lion Is in the Streets (1945),", Adria Locke Langley,A Lion Is in the Streets,1953,https://www.imdb.com/title/tt0046002/
"Little Dorrit (1855–1857) (serial),",", Charles Dickens",Little Dorrit,1913,https://librivox.org/search?title=Little+Dorrit&author=Dickens&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"Little Dorrit (1855–1857) (serial),",", Charles Dickens",Klein Dorrit,1934,
"The Lizard's Tail (1979),", Marc Brandell,The Hand,1981,
"The Life and Opinions of Tristram Shandy, Gentleman (1759–1767),", Laurence Sterne,A Cock and Bull Story,2006,https://www.imdb.com/title/tt0423409/
"The Light in the Forest (1953),", Conrad Richter,The Light in the Forest,1958,
"The Light of Western Stars (1914),", Zane Grey,The Light of the Western Stars,1918,
"The Light of Western Stars (1914),", Zane Grey,The Light of Western Stars,1925,
"Like a Fire is Burning (1991),", Gerald N. Lund,The Work and the Glory: American Zion,2005,
"Little Caesar (1929),", W. R. Burnett,Little Caesar,1931,
"Little Caesar (1929),", W. R. Burnett,Black Caesar,1973,
"Little Caesar (1929),", W. R. Burnett,Hell Up in Harlem,1973,https://catalog.afi.com/Catalog/moviedetails/54988
"The Little Drummer Girl (1983),", John le Carré,The Little Drummer Girl,1984,/wiki/The_Little_Drummer_Girl_(film)
"The Little White Horse (1946),", Elizabeth Goudge,The Secret of Moonacre,2009,https://www.allmovie.com/movie/v396066
"Live and Let Die (1954),", Ian Fleming,Live and Let Die,1973,
"Loaded (1995),", Christos Tsiolkas,Head On,1998,
"Lobo (1900),", Ernest Thompson Seton,The Legend of Lobo,1962,
"Logan's Run (1967),", William F. Nolan and George Clayton Johnson,Logan's Run,1976,
"Lolita (1955),", Vladimir Nabokov,Lolita,1962,/wiki/Lolita_(1962_film)
"The Lone Star Ranger (1915),", Zane Grey,The Lone Star Ranger,1919,https://librivox.org/search?title=The+Lone+Star+Ranger&author=GREY&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
"The Lone Star Ranger (1915),", Zane Grey,Lone Star Ranger,1942,https://www.imdb.com/title/tt0034994/
"The Long Goodbye (1953),", Raymond Chandler,The Long Goodbye,1973,
"The Looters (1968),", John H. Reese,Charley Varrick,1973,https://www.tcm.com/tcmdb/title/70654/enwp
"Lord Jim (1899–1900) (serial),",", Joseph Conrad",Lord Jim,1925,/wiki/Lord_Jim_(1925_film)
"Lord of the Flies (1954),", William Golding,Lord of the Flies,1963,/wiki/Lord_of_the_Flies_(1963_film)
"Lord of the Flies (1954),", William Golding,Alkitrang dugo,1976,
The Fellowship of the Ring (1953), J. R. R. Tolkien,The Lord of the Rings: The Two Towers,2002,https://www.imdb.com/title/tt0167261/
The Fellowship of the Ring (1953), J. R. R. Tolkien,The Lord of the Rings: The Return of the King,2003,https://www.imdb.com/title/tt0167260/
"The Lords of Discipline (1980),", Pat Conroy,The Lords of Discipline,1983,/wiki/The_Lords_of_Discipline_(film)
"Lost Horizon (1933),", James Hilton,Lost Horizon,1937,/wiki/Lost_Horizon_(1937_film)
"The Lost Ones (1961),", Donald G. Payne,The Island at the Top of the World,1974,https://www.imdb.com/title/tt0071671/
"The Lost Symbol (2009),", Dan Brown,The Lost Symbol,2012,https://www.imdb.com/title/tt1422137/
"The Lost World (1912),", Arthur Conan Doyle,The Lost World,1925,
"The Lost World (1912),", Arthur Conan Doyle,Return to the Lost World,1992,https://www.imdb.com/title/tt0105249/
"The Lost World (1912),", Arthur Conan Doyle,King of the Lost World,2005,https://www.imdb.com/title/tt0478188/
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Das doppelte Lottchen,1950,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,The Lullaby of Hibari,1951,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Twice Upon a Time,1953,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,The Parent Trap,1961,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,The Parent Trap II,1987,https://www.imdb.com/title/tt0091721/
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Parent Trap III,1988,https://www.imdb.com/title/tt0098066/
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Parent Trap: Hawaiian Honeymoon,1989,https://www.imdb.com/title/tt0098065/
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Kuzanthaiyum Deivamum,1965,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Letha Manasulu,1966,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Do Kaliyan,1968,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Animation Tomboy Angels,1980,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Pyaar ke do Pal,1986,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,I and Myself: The Two Lottes,1991,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Charlie & Louise - Das doppelte Lottchen,1994,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,khaharan-e- gharib,1995,
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Kuch Khatti Kuch Meethi,2001,https://www.imdb.com/title/tt0271604/
"Lottie and Lisa (Das doppelte Lottchen) (1949),", Erich Kästner,Tur & Retur,2003,
"The Loved One (1948),", Evelyn Waugh,The Loved One,1965,https://fadedpage.com/showbook.php?pid=20170624
"Love Story (1970),", Erich Segal,Love Story,1970,
"Love Story (1970),", Erich Segal,Oliver's Story,1978,https://www.imdb.com/title/tt0078024/
"The Lovely Bones (2002),", Alice Sebold,The Lovely Bones,2009,
"The Luck of Barry Lyndon (1844),", William Makepeace Thackeray,Barry Lyndon,1975,https://www.imdb.com/title/tt0072684/
"The Lucky One (2008),", Nicholas Sparks,The Lucky One,2012,
"Lunes de fiel (1981),", Pascal Bruckner,Bitter Moon,1992,https://www.imdb.com/title/tt0104779/
"The Lusty Men (1948),", Claude Stanush,The Lusty Men,1952,https://www.imdb.com/title/tt0044860/
"MacKenna's Gold (1963),", Henry Wilson Allen (as Heck Allen),Mackenna's Gold,1969,https://www.tcm.com/tcmdb/title/4692/enwp
"Madame Doubtfire (a.k.a. Alias Madame Doubtfire) (1987),", Anne Fine,Mrs. Doubtfire,1994,https://www.imdb.com/title/tt0107614/
"The Maddening (1987),", Andrew Neiderman,The Maddening,1995,https://www.imdb.com/title/tt0113732/
"The Magic Bed Knob; or, How to Become a Witch in Ten Easy Lessons (1943),", Mary Norton,Bedknobs and Broomsticks,1971,https://www.imdb.com/title/tt0066817/
"The Magician (1908),", W. Somerset Maugham,The Magician,1926,
"Magnificent Obsession (1929),", Lloyd C. Douglas,Magnificent Obsession,1935,/wiki/Magnificent_Obsession_(1935_film)
"Martin Eden (1909),", Jack London,The Adventures of Martin Eden,1942,https://www.imdb.com/title/tt0034431/
"Maître du monde (Master of the World) (1904),", Jules Verne,Master of the World,1961,
"Make Room! Make Room! (1966),", Harry Harrison,Soylent Green,1973,https://www.imdb.com/title/tt0070723/
"The Maltese Falcon (1930),", Dashiell Hammett,The Maltese Falcon,1931,
"The Maltese Falcon (1930),", Dashiell Hammett,Satan Met a Lady,1936,https://www.imdb.com/title/tt0028219/
"The Maltese Falcon (1930),", Dashiell Hammett,The Black Bird,1975,https://www.imdb.com/title/tt0072706/
"The Man Called Noon (1970),", Louis L'Amour,The Man Called Noon,1973,https://www.imdb.com/title/tt0068870/
"The Man in Black (1964),", Marvin H. Albert,Rough Night in Jericho,1967,
"The Man in the Gray Flannel Suit (1955),", Sloan Wilson,The Man in the Gray Flannel Suit,1956,https://www.imdb.com/title/tt0049474/
"Man on Fire (1980),", A. J. Quinnell,Man on Fire,1987,
"The Man Who Fell to Earth (1963),", Walter Travis,The Man Who Fell to Earth,1976,https://www.imdb.com/title/tt0074851/
"The Man Who Never Was (1954),", Ewen Montagu,The Man Who Never Was,1956,https://www.imdb.com/title/tt0049471/
"The Man with the Golden Gun (1965),", Ian Fleming,The Man with the Golden Gun,1974,
"The Man Without a Face (1972),", Isabelle Holland,The Man Without a Face,1993,https://www.imdb.com/title/tt0107501/
"Man Without a Star (1952),", Lee Dinford,Man Without a Star,1955,https://www.imdb.com/title/tt0048340/
"The Manchurian Candidate (1959),", Richard Condon,The Manchurian Candidate,1962,http://www.complete-review.com/reviews/popus/condonr.htm
"Manon des Sources (part two of L'Eau des collines) (1966),", Marcel Pagnol,Manon des Sources,1953,
"Marnie (1961),", Winston Graham,Marnie,1964,
"Mary Poppins (1934),", P. L. Travers,Mary Poppins,1964,/wiki/Category:Mary_Poppins
"MASH: A Novel About Three Army Doctors (1968),", Richard Hooker,MASH,1970,
"Marathon Man (1974),", William Goldman,Marathon Man,1976,
"The Matarese Circle (1979),", Robert Ludlum,The Matarese Circle,2012,
"Matilda (1988),", Roald Dahl,Matilda,1996,
"Maurice (1971),", E. M. Forster,Maurice,1987,
"The Mayor of Casterbridge (1886),", Thomas Hardy,The Mayor of Casterbridge,1921,/wiki/The_Mayor_of_Casterbridge_(1921_film)
"The Mayor of Casterbridge (1886),", Thomas Hardy,The Claim,2000,
"McTeague (1899),", Frank Norris,McTeague,1916,https://archive.org/search.php?query=title%3AMcTeague%20creator%3Afrank%20norris%20-contributor%3Agutenberg%20AND%20mediatype%3Atexts
"McTeague (1899),", Frank Norris,Greed,1924,/wiki/Greed_(1924_film)
"Me and Earl and the Dying Girl (2012),", Jesse Andrews,[1]Me and Earl and the Dying Girl,2015,
"The Medusa Touch (1973),", Peter Van Greenaway,The Medusa Touch,1978,
"The Memoirs of Cleopatra (1997),", Margaret George,Cleopatra,1999,https://archive.org/stream/in.ernet.dli.2015.524570/2015.524570.Cleopatra#page/n1/mode/2up
"The Mephisto Waltz (1969),", Fred Mustard Stewart,The Mephisto Waltz,1971,https://www.imdb.com/title/tt0067419/
"Mercy Island (1941),", Theodore Pratt,Mercy Island,1941,https://www.imdb.com/title/tt0033906/
"Merton of the Movies (1919),", Harry Leon Wilson,Merton of the Movies,1924,/wiki/Merton_of_the_Movies_(play)
"Merton of the Movies (1919),", Harry Leon Wilson,Make Me a Star,1932,
"Message in a Bottle (1998),", Nicholas Sparks,Message in a Bottle,1999,
"Miami Mayhem (1960),", Marvin H. Albert,Tony Rome,1967,https://www.imdb.com/title/tt0062380/
"Miami Mayhem (1960),", Marvin H. Albert,Lady in Cement,1968,https://commons.wikimedia.org/wiki/Category:Lady_in_Cement
"Midnight and Jeremiah (1943),", Sterling North,So Dear to My Heart,1949,https://www.imdb.com/title/tt0041890/
"A Midnight Clear (1982),", William Wharton,A Midnight Clear,1992,https://www.imdb.com/title/tt0102443/
"The Midwich Cuckoos (1957),", John Wyndham,Village of the Damned,1960,
"The Midwich Cuckoos (1957),", John Wyndham,Children of the Damned,1963,https://www.imdb.com/title/tt0056931/
"Mildred Pierce (1941),", James M. Cain,Mildred Pierce,1945,
"Millennium (1983),", John Varley,Millennium,1989,
The Girl with the Dragon Tattoo (2005), Stieg Larsson,Swedish filmsThe Girl with the Dragon Tattoo,2009,
The Girl with the Dragon Tattoo (2005), Stieg Larsson,The Girl Who Played with Fire,2009,/wiki/The_Girl_Who_Played_with_Fire_(film)
The Girl with the Dragon Tattoo (2005), Stieg Larsson,The Girl Who Kicked the Hornets' Nest,2009,https://www.amazon.co.uk/gp/product/B002RI9ZPY?ie=UTF8&linkCode=xm2&camp=1634&creativeASIN=B002RI9ZPY
The Girl with the Dragon Tattoo (2005), Stieg Larsson,American filmsThe Girl with the Dragon Tattoo,2011,
"Mine-Haha, or On the Bodily Education of Young Girls (1903),", Frank Wedekind,Innocence,2004,
"Mine-Haha, or On the Bodily Education of Young Girls (1903),", Frank Wedekind,The Fine Art of Love: Mine Ha-Ha,2005,https://www.imdb.com/title/tt0425186/
"The Mirror Crack'd from Side to Side (1962),", Agatha Christie,The Mirror Crack'd,1980,https://www.imdb.com/title/tt0081163/
"The Mirror Crack'd from Side to Side (1962),", Agatha Christie,Subho Mahurat,2003,
"Les Misérables (1862),", Victor Hugo,On the Barricade,1907,
"Les Misérables (1862),", Victor Hugo,Le Chemineau,1907,
"Les Misérables (1862),", Victor Hugo,Les Misérables,1909,http://www.cliffsnotes.com/literature/l/les-miserables/book-summary
"Les Misérables (1862),", Victor Hugo,The Bishop's Candlesticks,1909,
"Les Misérables (1862),", Victor Hugo,Aa Mujou,1923,
"Les Misérables (1862),", Victor Hugo,Jean Valjean,1931,
"Les Misérables (1862),", Victor Hugo,Gavrosh,1937,
"Les Misérables (1862),", Victor Hugo,Kyojinden,1938,
"Les Misérables (1862),", Victor Hugo,Los Miserables,1943,
"Les Misérables (1862),", Victor Hugo,El Boassa,1944,
"Les Misérables (1862),", Victor Hugo,I Miserabili,1948,
"Les Misérables (1862),", Victor Hugo,Les Nouveaux Misérables,1949,
"Les Misérables (1862),", Victor Hugo,Ezhai Padum Padu,1950,https://www.imdb.com/title/tt0260015/
"Les Misérables (1862),", Victor Hugo,Beedala Patlu,1950,
"Les Misérables (1862),", Victor Hugo,Kundan,1955,
"Les Misérables (1862),", Victor Hugo,Duppathage Duka,1956,
"Les Misérables (1862),", Victor Hugo,Sirakaruwa,1957,
"Les Misérables (1862),", Victor Hugo,Os Miseráveis,1958,
"Les Misérables (1862),", Victor Hugo,Cosette,1961,
"Les Misérables (1862),", Victor Hugo,Gavroche,1962,
"Les Misérables (1862),", Victor Hugo,Sefiller,1967,
"Les Misérables (1862),", Victor Hugo,Al Boasa,1978,
"Les Misérables (1862),", Victor Hugo,Les Misérables – The Dream Cast in Concert,1995,
"Les Misérables (1862),", Victor Hugo,Les Misérables - 25th Anniversary Live from the O2,2010,
"Misery (1987),", Stephen King,Misery,1990,
"Miss Lonelyhearts (1933),", Nathanael West,Advice to the Lovelorn,1933,https://www.imdb.com/title/tt0023741/
